Team,Win,Draw,Loss,Total Points
Académica de Coimbra,56.0,82.0,110.0,250.0
RCD Mallorca,67.0,44.0,79.0,245.0
Hertha BSC Berlin,65.0,49.0,90.0,244.0
SC Freiburg,62.0,54.0,88.0,240.0
Vitória Setúbal,58.0,65.0,125.0,239.0
Swansea City,62.0,52.0,76.0,238.0
Piast Gliwice,65.0,42.0,73.0,237.0
Cracovia,61.0,53.0,96.0,236.0
GKS Bełchatów,62.0,49.0,69.0,235.0
1. FC Köln,60.0,54.0,90.0,234.0
Torino,57.0,59.0,74.0,230.0
Zagłębie Lubin,59.0,51.0,70.0,228.0
Rayo Vallecano,66.0,28.0,96.0,226.0
AS Nancy-Lorraine,56.0,53.0,81.0,221.0
SM Caen,56.0,53.0,81.0,221.0
Southampton,60.0,40.0,52.0,220.0
P. Warszawa,60.0,38.0,52.0,218.0
Real Betis Balompié,56.0,47.0,87.0,215.0
Hamilton Academical FC,56.0,44.0,90.0,212.0
FC Augsburg,55.0,45.0,70.0,210.0
AJ Auxerre,53.0,50.0,49.0,209.0
KSV Cercle Brugge,58.0,34.0,90.0,208.0
KVC Westerlo,54.0,46.0,82.0,208.0
Sporting Charleroi,55.0,42.0,85.0,207.0
Real Sporting de Gijón,54.0,44.0,92.0,206.0
Wigan Athletic,50.0,52.0,88.0,202.0
Granada CF,52.0,43.0,95.0,199.0
RC Celta de Vigo,54.0,35.0,63.0,197.0
Widzew Łódź,48.0,52.0,80.0,196.0
1. FC Nürnberg,49.0,43.0,78.0,190.0
SC Bastia,51.0,37.0,64.0,190.0
UD Almería,48.0,46.0,96.0,190.0
Estoril Praia,50.0,36.0,42.0,186.0
Ross County FC,50.0,35.0,67.0,185.0
PEC Zwolle,49.0,33.0,54.0,180.0
FC Nantes,45.0,44.0,63.0,179.0
Podbeskidzie Bielsko-Biała,42.0,49.0,59.0,175.0
Stade de Reims,44.0,42.0,66.0,174.0
Willem II,44.0,41.0,119.0,173.0
Évian Thonon Gaillard FC,45.0,36.0,71.0,171.0
Pogoń Szczecin,42.0,43.0,35.0,169.0
Blackburn Rovers,42.0,39.0,71.0,165.0
CF Os Belenenses,37.0,53.0,68.0,164.0
Real Zaragoza,43.0,34.0,75.0,163.0
Bolton Wanderers,43.0,33.0,76.0,162.0
Beerschot AC,40.0,42.0,70.0,162.0
Racing Santander,37.0,47.0,68.0,158.0
Norwich City,39.0,41.0,72.0,158.0
Real Valladolid,37.0,47.0,68.0,158.0
S.C. Olhanense,32.0,55.0,63.0,151.0
Siena,37.0,38.0,75.0,149.0
Sassuolo,37.0,33.0,44.0,144.0
FC Aarau,35.0,34.0,75.0,139.0
Neuchâtel Xamax,36.0,31.0,59.0,139.0
Hull City,32.0,41.0,79.0,137.0
Crystal Palace,37.0,24.0,53.0,135.0
En Avant de Guingamp,37.0,24.0,53.0,135.0
Partick Thistle F.C.,32.0,34.0,48.0,130.0
RKC Waalwijk,34.0,27.0,75.0,129.0
Hellas Verona,32.0,32.0,50.0,128.0
Dundee FC,29.0,36.0,49.0,123.0
Leicester City,34.0,20.0,22.0,122.0
Sint-Truidense VV,31.0,27.0,60.0,120.0
Excelsior,27.0,35.0,74.0,116.0
Stade Brestois 29,27.0,35.0,52.0,116.0
De Graafschap,27.0,34.0,75.0,115.0
VVV-Venlo,29.0,28.0,79.0,115.0
Gil Vicente FC,26.0,35.0,63.0,113.0
FC Arouca,28.0,29.0,41.0,113.0
RC Lens,26.0,34.0,54.0,112.0
Lierse SK,22.0,43.0,61.0,109.0
AC Ajaccio,22.0,40.0,52.0,106.0
Lecce,24.0,33.0,54.0,105.0
Wolverhampton Wanderers,25.0,28.0,61.0,103.0
Moreirense FC,25.0,28.0,45.0,103.0
KV Oostende,29.0,14.0,23.0,101.0
AC Bellinzona,25.0,25.0,58.0,100.0
Royal Excel Mouscron,26.0,22.0,46.0,100.0
RAEC Mons,25.0,24.0,45.0,99.0
SC Cambuur,24.0,26.0,52.0,98.0
Oud-Heverlee Leuven,22.0,28.0,40.0,94.0
Waasland-Beveren,24.0,21.0,51.0,93.0
Queens Park Rangers,22.0,26.0,66.0,92.0
Birmingham City,21.0,26.0,29.0,89.0
"União de Leiria, SAD",23.0,20.0,47.0,89.0
FC Vaduz,19.0,32.0,57.0,89.0
Naval 1° de Maio,22.0,22.0,46.0,88.0
Empoli,20.0,28.0,28.0,88.0
FC Lausanne-Sports,23.0,18.0,65.0,87.0
Cesena,19.0,30.0,61.0,87.0
Arka Gdynia,20.0,26.0,44.0,86.0
SC Beira Mar,20.0,25.0,45.0,85.0
Elche CF,20.0,21.0,35.0,81.0
SD Eibar,20.0,18.0,38.0,78.0
Servette FC,20.0,14.0,36.0,74.0
Bari,18.0,20.0,38.0,74.0
Le Mans FC,18.0,18.0,40.0,72.0
Zawisza Bydgoszcz,19.0,14.0,27.0,71.0
1. FC Kaiserslautern,17.0,18.0,33.0,69.0
Falkirk,15.0,24.0,37.0,69.0
Portsmouth,17.0,18.0,41.0,69.0
Boavista FC,17.0,16.0,35.0,67.0
Grenoble Foot 38,15.0,22.0,39.0,67.0
Leixões SC,17.0,15.0,28.0,66.0
Go Ahead Eagles,17.0,14.0,37.0,65.0
Górnik Łęczna,16.0,17.0,27.0,65.0
Burnley,15.0,18.0,43.0,63.0
Sparta Rotterdam,15.0,16.0,37.0,61.0
VfL Bochum,13.0,21.0,34.0,60.0
Odra Wodzisław,15.0,14.0,31.0,59.0
ES Troyes AC,11.0,22.0,43.0,55.0
Livorno,13.0,15.0,48.0,54.0
Angers SCO,13.0,11.0,14.0,50.0
KSV Roeselare,12.0,12.0,38.0,48.0
Watford,12.0,9.0,17.0,45.0
UD Las Palmas,12.0,8.0,18.0,44.0
Bournemouth,11.0,9.0,18.0,42.0
FC Ingolstadt 04,10.0,10.0,14.0,40.0
Blackpool,10.0,9.0,19.0,39.0
SV Darmstadt 98,9.0,11.0,14.0,38.0
Carpi,9.0,11.0,18.0,38.0
GFC Ajaccio,8.0,13.0,17.0,37.0
Dijon FCO,9.0,9.0,20.0,36.0
CD Tenerife,9.0,9.0,20.0,36.0
Lugano,9.0,8.0,19.0,35.0
Hércules Club de Fútbol,9.0,8.0,21.0,35.0
CD Numancia,10.0,5.0,23.0,35.0
FCV Dender EH,9.0,8.0,17.0,35.0
Amadora,8.0,10.0,12.0,34.0
Xerez Club Deportivo,8.0,10.0,20.0,34.0
Termalica Bruk-Bet Nieciecza,8.0,9.0,13.0,33.0
RC Recreativo,8.0,9.0,21.0,33.0
Middlesbrough,7.0,11.0,20.0,32.0
Brescia,7.0,11.0,20.0,32.0
Reggio Calabria,6.0,13.0,19.0,31.0
US Boulogne Cote D'Opale,7.0,10.0,21.0,31.0
Frosinone,8.0,7.0,23.0,31.0
SC Paderborn 07,7.0,10.0,17.0,31.0
Cardiff City,7.0,9.0,22.0,30.0
Tondela,8.0,6.0,20.0,30.0
FC Metz,7.0,9.0,22.0,30.0
Fortuna Düsseldorf,7.0,9.0,18.0,30.0
FC Energie Cottbus,8.0,6.0,20.0,30.0
FC St. Pauli,8.0,5.0,21.0,29.0
Uniao da Madeira,7.0,8.0,19.0,29.0
Novara,6.0,11.0,19.0,29.0
Karlsruher SC,8.0,5.0,21.0,29.0
FC Volendam,7.0,8.0,19.0,29.0
Reading,6.0,10.0,22.0,28.0
DSC Arminia Bielefeld,4.0,16.0,14.0,28.0
Tubize,7.0,6.0,21.0,27.0
Le Havre AC,7.0,5.0,26.0,26.0
Dunfermline Athletic,5.0,10.0,23.0,25.0
Portimonense,6.0,7.0,17.0,25.0
Eintracht Braunschweig,6.0,7.0,21.0,25.0
Feirense,5.0,9.0,16.0,24.0
KAS Eupen,5.0,8.0,17.0,23.0
Trofense,5.0,8.0,17.0,23.0
FC Penafiel,5.0,7.0,22.0,22.0
Pescara,6.0,4.0,28.0,22.0
SpVgg Greuther Fürth,4.0,9.0,21.0,21.0
Córdoba CF,3.0,11.0,24.0,20.0
FC Dordrecht,4.0,8.0,22.0,20.0
AC Arles-Avignon,3.0,11.0,24.0,20.0
